type,IP
HTTP,183.166.162.158:9999
HTTP,123.169.38.99:9999
HTTP,113.121.47.54:9999
HTTP,175.43.58.18:9999
HTTP,175.42.68.182:9999
HTTP,49.86.180.210:9999
HTTP,175.42.68.53:9999
HTTP,175.43.151.244:9999
HTTP,115.221.243.91:9999
HTTP,112.111.217.61:9999
HTTP,112.111.217.144:9999
HTTP,106.111.53.237:9999
HTTP,117.69.130.97:9999
HTTP,115.221.245.25:9999
HTTP,182.34.33.246:9999
HTTP,182.34.33.246:9999
HTTP,115.221.244.89:9999
HTTP,175.44.108.153:9999
HTTP,175.43.156.50:9999
HTTP,115.221.241.216:9999
HTTP,171.35.212.243:9999
HTTP,49.70.64.141:9999
HTTP,113.194.130.117:9999
HTTP,175.42.122.20:9999
HTTP,175.43.179.230:9999
HTTP,175.42.128.153:9999
HTTP,175.43.56.31:9999
HTTP,171.35.142.123:9999
HTTP,123.169.112.96:9999
HTTP,175.42.123.84:9999
HTTP,175.43.57.5:9999
HTTP,175.42.129.46:9999
HTTP,123.169.100.203:9999
HTTP,117.91.250.165:9999
HTTP,175.43.143.223:9999
HTTP,121.233.206.80:9999
HTTP,110.243.2.183:9999
HTTP,175.42.68.197:9999
HTTP,175.42.122.177:9999
HTTP,113.121.93.12:9999
HTTP,117.69.151.126:9999
HTTP,175.42.123.143:9999
HTTP,175.42.68.91:9999
HTTP,115.221.242.183:9999
HTTP,60.19.239.64:9999
HTTP,175.42.122.159:9999
HTTP,121.226.215.62:9999
HTTP,49.70.99.251:9999
HTTP,175.42.68.225:9999
HTTP,115.221.245.70:9999
HTTP,120.83.102.185:9999
HTTP,110.243.17.43:9999
HTTP,117.69.170.31:9999
HTTP,27.43.188.110:9999
HTTP,175.43.59.2:9999
HTTP,121.233.227.123:9999
HTTP,113.124.93.95:9999
HTTP,220.249.149.196:9999
HTTP,114.239.2.8:9999
HTTP,121.233.226.208:9999
HTTP,175.43.35.27:9999
HTTP,112.111.217.94:9999
HTTP,36.249.52.35:9999
HTTP,183.166.102.120:9999
HTTP,175.42.129.122:9999
HTTP,114.103.168.212:9999
HTTP,115.221.244.165:9999
HTTP,115.210.46.75:9999
HTTP,60.169.133.10:9999
HTTP,123.54.44.176:9999
HTTP,175.43.151.103:9999
HTTP,175.43.35.21:9999
HTTP,175.42.68.205:9999
HTTP,111.160.169.54:41820
HTTP,115.221.241.51:9999
HTTP,115.221.241.51:9999
HTTP,117.66.254.96:9999
HTTP,183.165.11.242:9999
HTTP,110.243.0.15:9999
HTTP,175.43.85.109:9999
HTTP,171.12.221.134:9999
HTTP,182.46.121.37:9999
HTTP,175.42.123.10:9999
HTTP,175.43.34.10:9999
HTTP,175.42.122.185:9999
HTTP,222.189.190.61:9999
HTTP,183.166.20.236:9999
HTTP,49.89.87.112:9999
HTTP,183.166.111.170:9999
HTTP,36.249.109.13:9999
HTTP,115.221.240.246:9999
HTTP,123.52.179.231:9999
HTTP,113.121.66.157:9999
HTTP,36.249.49.57:9999
HTTP,36.57.87.8:9999
HTTP,115.221.246.52:9999
HTTP,171.35.175.11:9999
HTTP,49.89.84.71:9999
HTTP,123.169.124.123:9999
HTTP,124.94.252.155:9999
HTTP,183.166.70.196:9999
HTTP,49.89.87.151:9999
HTTP,183.166.71.241:9999
HTTP,113.121.44.8:9999
HTTP,175.43.34.38:9999
HTTP,120.83.97.133:9999
HTTP,183.166.103.118:9999
HTTP,123.169.118.192:9999
HTTP,115.221.246.84:9999
HTTP,114.104.138.85:9999
HTTP,110.243.21.235:9999
HTTP,120.83.111.119:9999
HTTP,175.42.128.185:9999
HTTP,112.111.217.5:9999
HTTP,36.248.133.9:9999
HTTP,175.42.122.196:9999
HTTP,175.43.178.78:9999
HTTP,175.43.58.39:9999
HTTP,112.111.77.72:9999
HTTP,171.35.160.70:9999
HTTP,175.43.58.44:9999
HTTP,49.86.176.133:9999
HTTP,175.42.68.196:9999
HTTP,175.43.58.8:9999
HTTP,171.13.136.67:9999
HTTP,171.13.137.98:9999
HTTP,175.43.151.209:9999
HTTP,123.169.113.4:9999
HTTP,113.124.92.97:9999
HTTP,182.34.35.235:9999
HTTP,123.169.34.26:9999
HTTP,122.138.141.62:9999
HTTP,1.198.41.178:9999
HTTP,175.146.215.38:9999
HTTP,112.111.217.197:9999
